bhk,type,area,price,status,age,latitude,longitude
1,0.2,454,0.63,0,1.0,19.02627373,73.09680939
1,0.2,490,0.58,0,1.0,19.02627373,73.09680939
1,0.2,490,0.58,0,1.0,19.02627373,73.09680939
2,0.2,1091,1.31,0,1.0,19.02627373,73.09680939
2,0.2,1091,1.31,0,1.0,19.02627373,73.09680939
2,0.2,666,0.82,0,1.0,19.02627373,73.09680939
2,0.2,666,0.82,0,1.0,19.02627373,73.09680939
2,0.2,725,1.7,1,1.0,19.10911233,73.00795882
2,0.2,725,1.7,1,1.0,19.10911233,73.00795882
4,0.2,1492,3.4,1,1.0,19.10911233,73.00795882
4,0.2,1492,3.4,1,1.0,19.10911233,73.00795882
2,0.2,715,1.68,1,1.0,19.10911233,73.00795882
2,0.2,715,1.68,1,1.0,19.10911233,73.00795882
1,0.2,505,1.08,1,1.0,19.10911233,73.00795882
1,0.2,505,1.08,1,1.0,19.10911233,73.00795882
2,0.2,555,1.42,0,1.0,19.2173091,72.9818217
2,0.2,644,1.58,0,1.0,19.2173091,72.9818217
2,0.2,515,1.24,0,1.0,19.2173091,72.9818217
2,0.2,644,1.58,0,1.0,19.2173091,72.9818217
2,0.2,635,1.65,0,1.0,19.2173091,72.9818217
1,0.2,505,1.08,1,1.0,19.10911233,73.00795882
4,0.2,1969,6.89,0,1.0,19.11212158,72.86767578
4,0.2,1969,6.89,0,1.0,19.11212158,72.86767578
2,0.2,720,0.5707,0,1.0,18.96904755,72.82118225
1,0.2,514,0.3874,0,1.0,18.96904755,72.82118225
1,0.2,514,0.3874,0,1.0,18.96904755,72.82118225
2,0.2,685,2.26,0,1.0,19.11212158,72.86767578
2,0.2,685,2.26,0,1.0,19.11212158,72.86767578
3,0.2,1236,4.08,0,1.0,19.11212158,72.86767578
3,0.2,1236,4.08,0,1.0,19.11212158,72.86767578
2,0.2,1002,0.47450000000000003,0,1.0,19.185977,73.224184
2,0.2,1002,0.47450000000000003,0,1.0,19.185977,73.224184
1,0.2,840,0.38270000000000004,0,1.0,19.185977,73.224184
1,0.2,840,0.38270000000000004,0,1.0,19.185977,73.224184
1,0.2,702,0.31989999999999996,0,1.0,19.185977,73.224184
1,0.2,702,0.31989999999999996,0,1.0,19.185977,73.224184
2,0.2,1030,0.4878,0,1.0,19.185977,73.224184
2,0.2,1030,0.4878,0,1.0,19.185977,73.224184
2,0.2,1027,0.4863,0,1.0,19.185977,73.224184
2,0.2,1027,0.4863,0,1.0,19.185977,73.224184
1,0.2,730,0.3326,0,1.0,19.185977,73.224184
1,0.2,730,0.3326,0,1.0,19.185977,73.224184
1,0.2,790,0.36,0,1.0,19.185977,73.224184
1,0.2,790,0.36,0,1.0,19.185977,73.224184
2,0.2,950,0.4499,0,1.0,19.185977,73.224184
2,0.2,950,0.4499,0,1.0,19.185977,73.224184
2,0.2,1063,0.5034000000000001,0,1.0,19.185977,73.224184
2,0.2,1063,0.5034000000000001,0,1.0,19.185977,73.224184
2,0.2,1057,0.5005,0,1.0,19.185977,73.224184
2,0.2,1057,0.5005,0,1.0,19.185977,73.224184
2,0.2,1008,0.47729999999999995,0,1.0,19.185977,73.224184
2,0.2,1008,0.47729999999999995,0,1.0,19.185977,73.224184
2,0.2,1070,0.5067,0,1.0,19.185977,73.224184
2,0.2,1070,0.5067,0,1.0,19.185977,73.224184
1,0.2,812,0.37,0,1.0,19.185977,73.224184
1,0.2,812,0.37,0,1.0,19.185977,73.224184
2,0.2,1012,0.4792,0,1.0,19.185977,73.224184
2,0.2,1012,0.4792,0,1.0,19.185977,73.224184
1,0.2,740,0.3922,1,1.0,18.96904755,72.82118225
1,0.2,740,0.3922,1,1.0,18.96904755,72.82118225
2,0.2,1045,0.5538000000000001,1,1.0,18.96904755,72.82118225
2,0.2,1045,0.5538000000000001,1,1.0,18.96904755,72.82118225
1,0.2,690,0.3657,1,1.0,18.96904755,72.82118225
1,0.2,690,0.3657,1,1.0,18.96904755,72.82118225
2,0.2,1085,0.575,1,1.0,18.96904755,72.82118225
2,0.2,1085,0.575,1,1.0,18.96904755,72.82118225
